gname,weaptype1,weapsubtype1,count
Moro National Liberation Front (MNLF),Explosives/Bombs/Dynamite,Other Explosive Type,1
Moro National Liberation Front (MNLF),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",6
Moro National Liberation Front (MNLF),Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Moro National Liberation Front (MNLF),Firearms,Unknown Gun Type,3
Defenders of the Nation's Sovereignty,Explosives/Bombs/Dynamite,Other Explosive Type,1
Mai Mai Simba Militia,Firearms,Unknown Gun Type,2
Mai Mai Simba Militia,Incendiary,Arson/Fire,1
Partido Marxista-Leninista ng Pilipinas (PMLP),Explosives/Bombs/Dynamite,Grenade,1
Al-Herak Al-Tihami Movement,Firearms,Unknown Gun Type,1
Al Ashtar Brigades,Explosives/Bombs/Dynamite,Other Explosive Type,5
Al Ashtar Brigades,Explosives/Bombs/Dynamite,Vehicle,2
Al Ashtar Brigades,Explosives/Bombs/Dynamite,Remote Trigger,1
Real Irish Republican Army (RIRA),Explosives/Bombs/Dynamite,Other Explosive Type,2
Real Irish Republican Army (RIRA),Explosives/Bombs/Dynamite,Vehicle,1
Real Irish Republican Army (RIRA),Explosives/Bombs/Dynamite,Remote Trigger,1
Real Irish Republican Army (RIRA),Firearms,Unknown Gun Type,1
Anticlerical Pro Sex Toys Group,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Islamic Front (Syria),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",7
Islamic Front (Syria),Explosives/Bombs/Dynamite,Vehicle,2
Islamic Front (Syria),Explosives/Bombs/Dynamite,Unknown Explosive Type,7
Southern Mobility Movement (Yemen),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",5
Southern Mobility Movement (Yemen),Explosives/Bombs/Dynamite,Grenade,3
Southern Mobility Movement (Yemen),Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Southern Mobility Movement (Yemen),Firearms,Automatic Weapon,2
Southern Mobility Movement (Yemen),Firearms,Unknown Gun Type,22
Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,Other Explosive Type,3
Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,Remote Trigger,2
Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,Unknown Explosive Type,14
Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",15
Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,Vehicle,13
Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),4
Ansar Bayt al-Maqdis (Ansar Jerusalem),Melee,Knife or Other Sharp Object,4
Ansar Bayt al-Maqdis (Ansar Jerusalem),Firearms,Automatic Weapon,2
Ansar Bayt al-Maqdis (Ansar Jerusalem),Firearms,Unknown Gun Type,13
A'chik Songna An'pachakgipa Kotok (ASAK),Explosives/Bombs/Dynamite,Grenade,1
A'chik Songna An'pachakgipa Kotok (ASAK),Firearms,Unknown Gun Type,4
Taliban,Chemical,Poisoning,8
Taliban,Melee,"Hands, Feet, Fists",2
Taliban,Melee,Knife or Other Sharp Object,20
Taliban,Melee,Unknown Weapon Type,1
Taliban,Melee,Rope or Other Strangling Device,7
Taliban,Firearms,Automatic Weapon,28
Taliban,Firearms,Rifle/Shotgun (non-automatic),2
Taliban,Firearms,Unknown Gun Type,888
Taliban,Firearms,Handgun,3
Taliban,Explosives/Bombs/Dynamite,Other Explosive Type,31
Taliban,Explosives/Bombs/Dynamite,Grenade,22
Taliban,Explosives/Bombs/Dynamite,Remote Trigger,52
Taliban,Explosives/Bombs/Dynamite,Unknown Explosive Type,475
Taliban,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",193
Taliban,Explosives/Bombs/Dynamite,Pressure Trigger,15
Taliban,Explosives/Bombs/Dynamite,Vehicle,237
Taliban,Explosives/Bombs/Dynamite,Land Mine,304
Taliban,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),167
Taliban,Explosives/Bombs/Dynamite,Sticky Bomb,25
Taliban,Incendiary,Arson/Fire,50
Taliban,Incendiary,Gasoline or Alcohol,2
Civilian Defense,Explosives/Bombs/Dynamite,Other Explosive Type,1
Zuwar al-Imam Rida,Firearms,Unknown Gun Type,1
The Association for Islamic Mobilisation and Propagation (UAMSHO),Explosives/Bombs/Dynamite,Other Explosive Type,3
The Association for Islamic Mobilisation and Propagation (UAMSHO),Explosives/Bombs/Dynamite,Grenade,1
Al-Qa`ida in Iraq,Explosives/Bombs/Dynamite,Other Explosive Type,5
Al-Qa`ida in Iraq,Explosives/Bombs/Dynamite,Unknown Explosive Type,99
Al-Qa`ida in Iraq,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",14
Al-Qa`ida in Iraq,Explosives/Bombs/Dynamite,Vehicle,215
Al-Qa`ida in Iraq,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),15
Al-Qa`ida in Iraq,Explosives/Bombs/Dynamite,Sticky Bomb,7
Al-Qa`ida in Iraq,Firearms,Automatic Weapon,5
Al-Qa`ida in Iraq,Firearms,Rifle/Shotgun (non-automatic),1
Al-Qa`ida in Iraq,Firearms,Unknown Gun Type,49
Barisan Revolusi Nasional (BRN),Explosives/Bombs/Dynamite,Other Explosive Type,2
Barisan Revolusi Nasional (BRN),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Barisan Revolusi Nasional (BRN),Firearms,Automatic Weapon,1
Barisan Revolusi Nasional (BRN),Firearms,Unknown Gun Type,1
Militant People's Revolutionary Forces,Firearms,Automatic Weapon,1
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Other Explosive Type,53
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Remote Trigger,6
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Letter Bomb,2
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Unknown Explosive Type,132
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",19
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Grenade,22
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Pressure Trigger,1
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Sticky Bomb,1
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Vehicle,31
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Land Mine,17
Revolutionary Armed Forces of Colombia (FARC),Explosives/Bombs/Dynamite,Dynamite/TNT,11
Revolutionary Armed Forces of Colombia (FARC),Firearms,Automatic Weapon,3
Revolutionary Armed Forces of Colombia (FARC),Firearms,Rifle/Shotgun (non-automatic),15
Revolutionary Armed Forces of Colombia (FARC),Firearms,Unknown Gun Type,53
Revolutionary Armed Forces of Colombia (FARC),Firearms,Handgun,1
Revolutionary Armed Forces of Colombia (FARC),Incendiary,Flame Thrower,1
Revolutionary Armed Forces of Colombia (FARC),Incendiary,Arson/Fire,25
Revolutionary Armed Forces of Colombia (FARC),Incendiary,Gasoline or Alcohol,1
Revolutionary Struggle,Explosives/Bombs/Dynamite,Vehicle,1
United A'chik Liberation Army (UALA),Firearms,Automatic Weapon,2
United A'chik Liberation Army (UALA),Firearms,Unknown Gun Type,1
Kurdistan Freedom Hawks (TAK),Explosives/Bombs/Dynamite,Land Mine,1
Kurdistan Freedom Hawks (TAK),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Explosives/Bombs/Dynamite,Other Explosive Type,1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Explosives/Bombs/Dynamite,Grenade,1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Firearms,Unknown Gun Type,2
Jaish-e-Khorasan (JeK),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Jaish-e-Khorasan (JeK),Firearms,Unknown Gun Type,1
Jund Ansar Allah,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Breton Liberation Front (FLB),Incendiary,Gasoline or Alcohol,2
Telangana Separatists,Explosives/Bombs/Dynamite,Other Explosive Type,1
Telangana Separatists,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Egyptian Tawhid and Jihad,Firearms,Unknown Gun Type,1
Ansar al-Dine (Mali),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3
Ansar al-Dine (Mali),Explosives/Bombs/Dynamite,Vehicle,1
Ansar al-Dine (Mali),Firearms,Automatic Weapon,2
Ansar al-Dine (Mali),Firearms,Unknown Gun Type,1
Ansar al-Dine (Mali),Incendiary,Arson/Fire,1
Mateo Morral Insurrectionist Commandos,Explosives/Bombs/Dynamite,Other Explosive Type,2
February 17 Martyrs Brigade,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",5
February 17 Martyrs Brigade,Explosives/Bombs/Dynamite,Vehicle,1
Pro Hartal Activists,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Pro Hartal Activists,Incendiary,Gasoline or Alcohol,2
Jund al-Islam,Firearms,Unknown Gun Type,1
Harakat Ansar Iran (HAI),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1
Al-Aqsa Martyrs Brigade,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Al-Aqsa Martyrs Brigade,Melee,Knife or Other Sharp Object,1
Al-Aqsa Martyrs Brigade,Firearms,Rifle/Shotgun (non-automatic),1
Al-Aqsa Martyrs Brigade,Firearms,Unknown Gun Type,1
Al-Aqsa Martyrs Brigade,Incendiary,Gasoline or Alcohol,1
Ansar al-Sharia (Tunisia),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),4
Ansar al-Sharia (Tunisia),Firearms,Automatic Weapon,1
Ansar al-Sharia (Tunisia),Firearms,Unknown Gun Type,5
Adivasi National Liberation Army (ANLA),Firearms,Unknown Gun Type,1
Terai Communist Party,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Terai Communist Party,Incendiary,Gasoline or Alcohol,1
Secessionists,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Secessionists,Firearms,Unknown Gun Type,1
Economic Freedom Fighters,Incendiary,Arson/Fire,7
Muslim Renewal,Firearms,Unknown Gun Type,1
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Explosives/Bombs/Dynamite,Remote Trigger,1
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Firearms,Unknown Gun Type,3
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Incendiary,Arson/Fire,1
Liwa al-Haqq,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Akhil Terai Mukti Morcha (ATMM),Explosives/Bombs/Dynamite,Other Explosive Type,2
Akhil Terai Mukti Morcha (ATMM),Explosives/Bombs/Dynamite,Time Fuse,2
Akhil Terai Mukti Morcha (ATMM),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Akhil Terai Mukti Morcha (ATMM),Firearms,Unknown Gun Type,2
Haftar Militia,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",15
Haftar Militia,Explosives/Bombs/Dynamite,Unknown Explosive Type,7
Free Papua Movement (OPM-Organisasi Papua Merdeka),Firearms,Rifle/Shotgun (non-automatic),2
Free Papua Movement (OPM-Organisasi Papua Merdeka),Firearms,Unknown Gun Type,13
Free Papua Movement (OPM-Organisasi Papua Merdeka),Firearms,Handgun,1
Derna Mujahideen Shura Council,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Democratic Front of the Central African People (FDPC),Firearms,Unknown Gun Type,6
Karbi People's Liberation Tigers (KPLT),Explosives/Bombs/Dynamite,Other Explosive Type,1
Karbi People's Liberation Tigers (KPLT),Explosives/Bombs/Dynamite,Grenade,2
Karbi People's Liberation Tigers (KPLT),Melee,Blunt Object,1
Karbi People's Liberation Tigers (KPLT),Firearms,Automatic Weapon,2
Karbi People's Liberation Tigers (KPLT),Firearms,Unknown Gun Type,13
Kachin Independence Army (KIA),Explosives/Bombs/Dynamite,Grenade,2
Kachin Independence Army (KIA),Explosives/Bombs/Dynamite,Unknown Explosive Type,3
Bengali Sangram Mukti Bahini,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Bedouin tribesmen,Firearms,Unknown Gun Type,9
Arab People's Group,Firearms,Unknown Gun Type,1
Mujahideen Ansar,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Mujahideen Ansar,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Mujahideen Ansar,Explosives/Bombs/Dynamite,Vehicle,6
Mujahideen Ansar,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),2
Mujahideen Ansar,Explosives/Bombs/Dynamite,Remote Trigger,8
Ansarullah Bangla Team,Melee,Knife or Other Sharp Object,2
Proletariat Self-defense Groups,Explosives/Bombs/Dynamite,Other Explosive Type,3
Hafiz Gul Bahadur Group,Explosives/Bombs/Dynamite,Grenade,1
Kurdistan Free Life Party,Firearms,Unknown Gun Type,3
Fulani Militants,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Fulani Militants,Melee,Knife or Other Sharp Object,6
Fulani Militants,Firearms,Automatic Weapon,8
Fulani Militants,Firearms,Unknown Gun Type,137
Fulani Militants,Incendiary,Arson/Fire,20
Punjabi Taliban,Explosives/Bombs/Dynamite,Grenade,1
Punjabi Taliban,Firearms,Automatic Weapon,1
Punjabi Taliban,Firearms,Unknown Gun Type,1
Detonators of Social Uprisings,Explosives/Bombs/Dynamite,Other Explosive Type,1
Jammu and Kashmir Islamic Front,Explosives/Bombs/Dynamite,Grenade,1
Zwai Tribe,Firearms,Unknown Gun Type,1
Caucasus Emirate,Explosives/Bombs/Dynamite,Other Explosive Type,2
Caucasus Emirate,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3
Caucasus Emirate,Explosives/Bombs/Dynamite,Vehicle,5
Caucasus Emirate,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),3
Caucasus Emirate,Firearms,Automatic Weapon,1
Caucasus Emirate,Firearms,Unknown Gun Type,3
Revolutionary Front,Firearms,Unknown Gun Type,1
Popular Liberation Army (EPL),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Popular Liberation Army (EPL),Firearms,Automatic Weapon,1
Ansar al-Islam,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Ansar al-Islam,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Ansar al-Islam,Firearms,Unknown Gun Type,1
Awami League,Explosives/Bombs/Dynamite,Other Explosive Type,1
Awami League,Melee,"Hands, Feet, Fists",1
Awami League,Incendiary,Arson/Fire,2
Abida Tribe,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Abida Tribe,Firearms,Unknown Gun Type,1
Popular Resistance Committees,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",10
Popular Resistance Committees,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Popular Resistance Committees,Firearms,Rifle/Shotgun (non-automatic),1
Rashtriya Swayamsevak Sangh,Explosives/Bombs/Dynamite,Other Explosive Type,1
Baloch Nationalists,Explosives/Bombs/Dynamite,Other Explosive Type,1
Baloch Nationalists,Explosives/Bombs/Dynamite,Unknown Explosive Type,3
Baloch Nationalists,Explosives/Bombs/Dynamite,Remote Trigger,3
Baloch Nationalists,Explosives/Bombs/Dynamite,Grenade,2
Baloch Nationalists,Explosives/Bombs/Dynamite,Vehicle,1
Baloch Nationalists,Explosives/Bombs/Dynamite,Land Mine,1
Baloch Nationalists,Firearms,Automatic Weapon,1
Baloch Nationalists,Firearms,Unknown Gun Type,4
Corsican National Liberation Front (FLNC),Explosives/Bombs/Dynamite,Other Explosive Type,1
Corsican National Liberation Front (FLNC),Explosives/Bombs/Dynamite,Unknown Explosive Type,59
Lashkar-e-Islam (Pakistan),Melee,Knife or Other Sharp Object,4
Lashkar-e-Islam (Pakistan),Firearms,Automatic Weapon,1
Lashkar-e-Islam (Pakistan),Firearms,Rifle/Shotgun (non-automatic),1
Lashkar-e-Islam (Pakistan),Firearms,Unknown Gun Type,23
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Other Explosive Type,3
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Grenade,4
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Time Fuse,1
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Remote Trigger,6
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Unknown Explosive Type,17
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",5
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Vehicle,3
Lashkar-e-Islam (Pakistan),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1
Lashkar-e-Islam (Pakistan),Incendiary,Arson/Fire,2
Lashkar-e-Islam (Pakistan),Incendiary,Gasoline or Alcohol,1
Jharkhand Janmukti Parishad (JJP),Melee,"Hands, Feet, Fists",1
United Liberation Front of Barak Valley (ULFBV) - India,Firearms,Automatic Weapon,1
Dissident Republican Guard,Firearms,Unknown Gun Type,1
National Committee for the Restoration of Democracy and State (CNRDR),Firearms,Unknown Gun Type,1
Tehrik-e-Taliban Islami (TTI),Explosives/Bombs/Dynamite,Vehicle,1
Dissident Republicans,Explosives/Bombs/Dynamite,Other Explosive Type,17
Dissident Republicans,Explosives/Bombs/Dynamite,Unknown Explosive Type,6
Dissident Republicans,Explosives/Bombs/Dynamite,Letter Bomb,7
Dissident Republicans,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Dissident Republicans,Explosives/Bombs/Dynamite,Pressure Trigger,1
Dissident Republicans,Explosives/Bombs/Dynamite,Vehicle,1
Dissident Republicans,Firearms,Automatic Weapon,1
Dissident Republicans,Firearms,Unknown Gun Type,4
Dissident Republicans,Incendiary,Arson/Fire,5
Dissident Republicans,Incendiary,Gasoline or Alcohol,1
Ulster Freedom Fighters (UFF),Incendiary,Arson/Fire,1
Informal Anarchist Federation,Explosives/Bombs/Dynamite,Other Explosive Type,4
Informal Anarchist Federation,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Informal Anarchist Federation,Explosives/Bombs/Dynamite,Letter Bomb,7
Informal Anarchist Federation,Firearms,Handgun,1
Informal Anarchist Federation,Incendiary,Arson/Fire,9
Informal Anarchist Federation,Incendiary,Gasoline or Alcohol,4
Al-Khobar,Explosives/Bombs/Dynamite,Other Explosive Type,1
Al-Khobar,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Basque Separatists,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
National Front for the Revolution in Burundi (FRONABU-Tabara),Firearms,Unknown Gun Type,2
Nepal Defense Army,Explosives/Bombs/Dynamite,Other Explosive Type,1
Syrian Army deserters,Firearms,Unknown Gun Type,1
Youths,Explosives/Bombs/Dynamite,Time Fuse,1
Jaish as-Saiyouf (Army of Swords),Firearms,Unknown Gun Type,1
Saraya al-Mukhtar,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Islamist Extremists,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Islamist Extremists,Firearms,Unknown Gun Type,2
Islamic Unification Movement,Explosives/Bombs/Dynamite,Vehicle,2
Muslim United Liberation Tigers of Assam (MULTA),Explosives/Bombs/Dynamite,Other Explosive Type,1
Ansarul Islam (Pakistan),Firearms,Unknown Gun Type,1
Islami Jamiat-e-Talaba (IJT),Firearms,Unknown Gun Type,2
Arab Movement of Azawad (MAA),Firearms,Unknown Gun Type,3
Bodu Bala Sena,Incendiary,Arson/Fire,3
Merille Militia,Firearms,Unknown Gun Type,2
National Liberation Front of Provence (FLNP),Explosives/Bombs/Dynamite,Other Explosive Type,2
National Liberation Front of Provence (FLNP),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Unknown,Chemical,Poisoning,9
Unknown,Melee,Unknown Weapon Type,16
Unknown,Melee,"Hands, Feet, Fists",12
Unknown,Melee,Blunt Object,21
Unknown,Melee,Knife or Other Sharp Object,90
Unknown,Melee,Rope or Other Strangling Device,5
Unknown,Firearms,Automatic Weapon,590
Unknown,Firearms,Rifle/Shotgun (non-automatic),81
Unknown,Firearms,Handgun,332
Unknown,Firearms,Other Gun Type,12
Unknown,Firearms,Unknown Gun Type,5917
Unknown,Explosives/Bombs/Dynamite,Remote Trigger,727
Unknown,Explosives/Bombs/Dynamite,Letter Bomb,26
Unknown,Explosives/Bombs/Dynamite,Pressure Trigger,22
Unknown,Explosives/Bombs/Dynamite,Vehicle,2167
Unknown,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),390
Unknown,Explosives/Bombs/Dynamite,Dynamite/TNT,63
Unknown,Explosives/Bombs/Dynamite,Other Explosive Type,1937
Unknown,Explosives/Bombs/Dynamite,Time Fuse,92
Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,6577
Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1820
Unknown,Explosives/Bombs/Dynamite,Grenade,1026
Unknown,Explosives/Bombs/Dynamite,Land Mine,593
Unknown,Explosives/Bombs/Dynamite,Sticky Bomb,650
Unknown,Incendiary,Flame Thrower,1
Unknown,Incendiary,Arson/Fire,430
Unknown,Incendiary,Gasoline or Alcohol,292
Nduma Defense of Congo (NDC),Firearms,Unknown Gun Type,2
Jamaah Ansharut Tauhid (JAT),Explosives/Bombs/Dynamite,Other Explosive Type,1
Jamaah Ansharut Tauhid (JAT),Explosives/Bombs/Dynamite,Grenade,1
Jamaah Ansharut Tauhid (JAT),Explosives/Bombs/Dynamite,Remote Trigger,2
Jamaah Ansharut Tauhid (JAT),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),2
Jamaah Ansharut Tauhid (JAT),Firearms,Unknown Gun Type,1
Jamaah Ansharut Tauhid (JAT),Incendiary,Gasoline or Alcohol,1
Devrimici Halk Kurtulus Cephesi (DHKP/C),Explosives/Bombs/Dynamite,Other Explosive Type,2
Devrimici Halk Kurtulus Cephesi (DHKP/C),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3
Devrimici Halk Kurtulus Cephesi (DHKP/C),Explosives/Bombs/Dynamite,Grenade,1
Devrimici Halk Kurtulus Cephesi (DHKP/C),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),2
Devrimici Halk Kurtulus Cephesi (DHKP/C),Explosives/Bombs/Dynamite,Letter Bomb,1
Devrimici Halk Kurtulus Cephesi (DHKP/C),Firearms,Unknown Gun Type,1
National Democratic Front-Bicol (NDF-Bicol),Firearms,Unknown Gun Type,1
National Democratic Front-Bicol (NDF-Bicol),Firearms,Handgun,1
Ayesha bint al-Sadiq Brigade,Firearms,Rifle/Shotgun (non-automatic),1
Seleka,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Seleka,Explosives/Bombs/Dynamite,Grenade,2
Seleka,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Seleka,Firearms,Automatic Weapon,1
Seleka,Firearms,Unknown Gun Type,16
Seleka,Incendiary,Arson/Fire,1
Liwa al-Islam,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Palestinian Extremists,Explosives/Bombs/Dynamite,Vehicle,1
Palestinian Extremists,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",14
Palestinian Extremists,Explosives/Bombs/Dynamite,Grenade,2
Palestinian Extremists,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),2
Palestinian Extremists,Explosives/Bombs/Dynamite,Unknown Explosive Type,4
Palestinian Extremists,Melee,Blunt Object,1
Palestinian Extremists,Melee,Knife or Other Sharp Object,6
Palestinian Extremists,Firearms,Unknown Gun Type,6
Palestinian Extremists,Incendiary,Gasoline or Alcohol,1
Rebels,Firearms,Unknown Gun Type,1
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),Explosives/Bombs/Dynamite,Other Explosive Type,1
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),Explosives/Bombs/Dynamite,Grenade,1
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),Explosives/Bombs/Dynamite,Remote Trigger,1
Neo-Nazi Group,Melee,Blunt Object,1
Joint Meeting Parties (JMP),Firearms,Automatic Weapon,1
All Nepal National Free Student Union-Revolutionary,Incendiary,Gasoline or Alcohol,1
Baloch Liberation Tigers (BLT),Explosives/Bombs/Dynamite,Other Explosive Type,1
Baloch Liberation Tigers (BLT),Explosives/Bombs/Dynamite,Time Fuse,2
Baloch Liberation Tigers (BLT),Firearms,Unknown Gun Type,3
Tawheedul Islam,Firearms,Unknown Gun Type,1
Indian Mujahideen,Explosives/Bombs/Dynamite,Other Explosive Type,23
Indian Mujahideen,Explosives/Bombs/Dynamite,Time Fuse,2
Indian Mujahideen,Explosives/Bombs/Dynamite,Vehicle,1
Indian Mujahideen,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Abdullah Azzam Brigades,Explosives/Bombs/Dynamite,Remote Trigger,1
Abdullah Azzam Brigades,Explosives/Bombs/Dynamite,Vehicle,5
Abdullah Azzam Brigades,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),2
Abdullah Azzam Brigades,Explosives/Bombs/Dynamite,Unknown Explosive Type,3
Abdullah Azzam Brigades,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",7
Abdullah Azzam Brigades,Firearms,Unknown Gun Type,2
Abu Jaafar al-Mansur Brigades,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Islamic Movement of Kashmir,Firearms,Automatic Weapon,1
Islamic Movement of Kashmir,Firearms,Unknown Gun Type,1
Kuki Liberation Army (KLA),Firearms,Unknown Gun Type,1
Samyukta Terai Madhes Mukti Party,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Union of Congolese Patriots (UPC),Firearms,Unknown Gun Type,1
Pro-Russia Militia,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Pro-Russia Militia,Explosives/Bombs/Dynamite,Grenade,1
Pro-Russia Militia,Explosives/Bombs/Dynamite,Land Mine,1
Pro-Russia Militia,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Pro-Russia Militia,Melee,Blunt Object,1
Pro-Russia Militia,Firearms,Automatic Weapon,1
Pro-Russia Militia,Firearms,Unknown Gun Type,2
English Defense League (EDL),Incendiary,Arson/Fire,1
Movement of Democratic Forces of Casamance,Explosives/Bombs/Dynamite,Land Mine,1
Movement of Democratic Forces of Casamance,Firearms,Rifle/Shotgun (non-automatic),1
Movement of Democratic Forces of Casamance,Firearms,Unknown Gun Type,10
Luhansk People's Republic,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",55
Luhansk People's Republic,Explosives/Bombs/Dynamite,Grenade,1
Luhansk People's Republic,Explosives/Bombs/Dynamite,Land Mine,2
Luhansk People's Republic,Explosives/Bombs/Dynamite,Unknown Explosive Type,3
