rf,extra,xgboost,neuralNetwork,labels
17,17,17,1,17
17,17,17,1,17
17,17,17,5,17
17,17,17,7,17
17,17,17,12,17
17,17,17,6,17
17,17,17,6,17
17,17,17,2,17
17,17,17,52,17
17,17,17,12,17
17,17,17,28,17
17,17,17,4,17
6,6,0,2,6
4,4,4,2,4
4,4,4,85,4
57,8,8,85,8
5,5,5,5,5
28,28,28,1,28
28,28,28,7,28
65,65,65,7,0
52,52,52,28,52
5,5,5,33,5
1,4,1,5,1
4,4,4,28,4
1,1,1,2,1
28,4,28,0,28
4,4,4,12,4
5,5,5,28,5
4,4,4,4,4
4,4,4,28,4
12,12,12,12,12
52,52,35,0,52
52,52,52,5,52
5,5,5,0,5
4,4,4,12,4
52,52,35,0,52
17,17,56,5,62
17,17,17,5,62
17,17,56,5,62
17,17,56,1,62
17,17,56,7,62
5,5,5,28,5
12,12,12,28,12
99,99,88,28,60
0,60,0,99,60
6,6,6,99,0
52,52,35,99,57
0,5,6,5,0
2,2,2,1,2
28,28,28,1,28
1,1,0,82,0
5,5,5,28,5
5,5,5,12,5
6,5,6,55,36
5,5,5,5,5
4,4,0,7,0
0,0,0,1,73
33,52,33,1,33
12,12,12,12,12
3,3,36,12,0
6,5,6,28,0
4,4,4,28,4
6,5,6,12,6
5,5,5,1,5
3,3,3,12,3
5,5,5,2,5
6,5,6,5,36
6,5,6,5,36
6,5,0,52,0
5,5,5,5,5
4,4,4,2,4
5,5,5,2,5
5,5,5,52,5
1,4,1,2,1
28,28,28,1,28
17,17,56,7,62
0,0,0,52,64
52,52,52,2,52
82,82,82,5,82
5,5,5,7,5
67,67,67,2,67
67,0,50,56,67
67,67,67,5,67
67,67,50,2,67
0,0,9,2,67
67,67,50,5,67
67,67,67,1,67
5,5,5,5,5
5,5,5,5,5
2,5,2,5,2
0,5,0,2,0
52,52,52,52,82
28,1,28,12,28
28,1,28,7,28
28,1,28,5,28
52,52,8,2,60
52,52,89,7,60
12,12,12,2,12
57,57,57,1,57
1,1,1,82,1
4,4,4,5,4
33,52,33,0,33
67,67,67,20,67
28,1,28,5,28
28,1,28,5,28
28,1,28,52,28
28,1,28,62,28
28,1,28,5,28
28,1,28,97,28
28,1,28,0,28
12,12,62,1,56
5,5,5,1,5
5,5,5,1,5
12,12,12,5,12
17,17,56,5,62
57,57,57,5,57
57,57,57,52,57
1,1,1,5,1
5,5,5,5,5
67,67,67,7,67
12,12,83,1,0
2,5,2,4,2
2,5,2,61,2
2,2,55,5,2
12,12,12,5,12
5,5,5,1,5
52,52,33,1,33
28,1,28,1,28
5,5,5,1,5
2,5,2,1,2
5,5,5,1,5
5,5,5,1,5
4,4,4,1,4
5,5,5,1,5
2,5,2,1,2
2,2,2,1,55
57,57,57,1,57
4,4,4,1,4
4,4,4,1,4
5,5,5,1,5
99,99,88,1,60
3,3,3,1,10
12,12,12,1,12
57,57,57,1,57
0,5,0,1,6
4,4,4,1,4
2,5,2,1,2
20,52,20,1,20
1,12,1,1,48
5,5,5,1,5
1,1,1,1,1
3,3,3,1,3
7,7,7,1,7
5,5,5,4,5
7,7,7,1,7
4,4,4,5,4
5,5,5,3,5
82,82,82,52,82
28,28,28,5,28
52,52,35,7,52
12,12,12,5,12
5,5,5,5,5
52,52,52,2,52
1,1,1,56,1
5,5,5,5,5
5,5,5,5,5
5,5,5,55,5
5,5,5,5,5
4,4,4,5,4
0,5,89,52,89
0,0,64,5,59
81,81,22,12,59
52,52,35,5,52
4,4,4,5,4
4,4,4,12,4
12,12,12,4,12
12,12,12,12,12
28,28,28,12,28
28,28,28,5,28
4,4,4,5,4
99,99,96,12,60
5,5,5,0,5
0,0,0,12,0
28,4,28,2,28
4,4,4,1,4
28,28,28,12,28
3,3,46,12,46
5,5,5,5,5
52,52,52,1,52
5,5,0,1,6
57,57,57,3,57
60,99,60,5,9
3,3,10,52,85
1,1,1,5,1
1,1,1,5,1
1,1,1,29,1
5,5,5,12,5
5,5,5,5,5
3,3,46,2,46
17,17,17,52,0
52,52,52,52,42
5,5,5,2,5
57,52,60,5,20
28,28,28,52,28
28,28,28,5,28
12,12,12,4,12
39,25,39,5,25
4,1,4,4,4
7,7,7,2,7
4,4,1,5,1
4,12,90,1,90
28,4,28,46,28
0,0,56,5,62
52,52,52,5,35
5,5,5,4,5
52,52,23,46,52
5,5,5,5,5
5,5,5,4,5
1,1,1,12,1
4,4,4,4,4
5,5,5,1,5
1,1,1,52,1
12,12,12,5,12
1,1,1,52,1
1,1,1,12,1
1,4,1,5,1
1,4,4,12,0
6,5,6,5,6
6,5,6,82,6
5,5,5,82,5
28,28,28,52,28
5,5,5,0,5
3,3,10,35,3
3,3,10,5,3
4,4,4,62,4
1,4,1,5,1
28,28,28,2,28
52,52,52,12,52
5,5,5,5,5
57,57,57,5,57
5,5,5,12,5
5,5,5,2,5
28,28,28,5,28
3,5,89,57,0
3,5,89,57,0
3,6,3,5,0
0,84,84,5,79
79,5,28,82,79
79,5,28,32,79
79,5,28,12,79
79,5,28,5,79
79,5,28,5,79
5,5,5,5,5
5,5,5,2,5
5,5,5,46,5
0,0,0,5,30
5,5,5,5,5
99,99,86,52,0
12,12,12,5,12
3,3,3,1,3
1,1,1,4,1
5,5,5,4,5
5,5,5,5,5
5,5,5,4,5
52,52,23,4,23
2,5,2,5,2
0,84,84,65,79
0,84,84,52,79
79,5,28,5,79
79,5,28,1,79
0,4,84,4,84
5,5,5,1,5
0,0,56,4,79
5,5,5,5,5
12,12,12,4,12
5,5,5,4,5
2,5,2,12,2
2,5,2,52,2
1,1,1,52,1
4,4,0,5,0
5,5,5,4,5
52,52,52,52,52
5,5,5,5,5
1,1,1,12,1
5,5,5,6,5
17,17,17,52,17
17,17,17,6,17
17,17,17,2,17
17,17,17,4,17
17,17,17,5,17
17,17,17,5,17
17,5,17,6,17
17,5,17,5,17
17,17,17,4,17
17,17,17,12,17
17,17,17,6,17
52,52,52,6,52
0,52,8,4,60
3,5,3,5,3
5,5,5,5,5
0,0,17,34,17
57,57,57,6,57
4,4,4,5,4
0,0,62,4,56
1,1,1,5,1
1,1,1,5,1
1,1,1,1,1
1,1,1,52,1
1,1,1,82,1
1,1,1,5,1
1,1,1,67,1
1,1,1,5,1
1,1,1,5,1
1,1,1,0,1
17,17,17,0,17
17,17,17,82,17
17,17,17,12,17
17,17,17,57,17
2,5,2,1,2
4,4,4,4,4
1,1,1,67,1
17,17,17,0,17
17,17,17,5,17
1,1,1,5,1
28,1,28,12,28
28,1,28,57,28
28,1,28,57,28
28,1,28,1,28
28,1,28,5,28
7,7,7,67,7
5,5,5,12,5
6,5,0,2,34
5,5,5,12,5
4,1,4,5,4
52,52,52,5,52
5,5,5,5,5
12,12,12,5,12
5,5,5,4,5
1,1,1,5,1
1,1,1,57,1
1,1,1,4,1
1,1,1,4,1
5,5,5,5,5
28,4,28,3,28
28,28,28,12,28
3,3,3,57,3
5,5,5,4,5
5,5,5,5,5
7,7,7,1,7
52,52,52,7,52
1,1,1,5,1
5,5,5,7,5
5,5,5,4,5
5,5,5,5,5
5,5,5,82,5
5,5,5,52,5
57,57,57,12,57
57,57,57,5,57
28,1,28,52,28
5,5,5,1,5
5,5,5,5,5
5,5,5,5,63
5,5,5,5,5
91,5,91,5,91
2,5,2,4,2
12,12,12,60,12
0,5,0,59,0
1,1,1,35,1
5,5,5,4,5
5,5,5,4,5
28,4,28,12,28
2,2,2,12,2
5,5,5,4,5
5,5,5,5,5
60,60,0,0,60
52,52,52,4,52
52,52,52,5,35
4,1,4,52,4
7,7,7,57,7
52,52,52,1,52
57,57,57,1,57
52,52,52,1,52
0,0,24,5,24
28,1,28,5,28
4,4,4,17,4
1,1,1,52,1
1,1,1,5,1
1,1,1,12,1
1,1,1,0,1
2,5,2,4,2
3,5,3,7,3
52,52,52,4,52
4,4,4,5,4
12,12,12,35,12
5,5,5,5,5
28,28,56,5,62
17,0,56,1,62
5,5,5,4,5
5,5,5,5,5
0,4,43,1,83
0,4,83,12,83
0,4,43,1,83
12,4,83,1,83
83,83,83,1,83
83,4,83,4,83
12,54,0,5,0
20,52,27,5,20
5,5,5,4,5
5,5,5,1,5
17,1,17,82,17
5,5,0,5,6
57,57,57,57,57
4,4,4,5,4
2,5,2,5,2
2,5,2,0,2
1,4,1,0,1
5,5,5,6,5
0,5,0,5,0
0,99,67,5,67
2,4,56,5,56
52,52,52,5,52
5,12,16,86,12
5,5,5,12,5
5,5,5,1,5
5,5,5,5,5
5,5,5,5,5
0,5,0,5,79
52,52,35,35,52
79,79,0,5,79
2,5,2,5,14
1,1,1,12,1
1,1,1,5,1
1,1,1,1,1
1,1,1,0,1
1,1,1,5,1
52,52,52,52,35
52,52,52,5,35
5,5,5,1,5
2,5,2,5,2
52,52,52,52,52
12,12,12,5,12
4,4,0,57,0
28,28,28,4,28
20,52,20,56,20
53,52,25,1,20
5,5,5,1,5
5,5,5,1,5
79,79,13,1,13
79,79,13,1,13
79,79,13,1,13
99,99,86,1,0
79,79,84,1,84
52,52,52,1,35
3,3,3,1,3
5,5,5,4,5
5,5,5,1,5
79,13,13,1,13
5,5,5,7,5
2,5,2,5,2
52,52,52,5,52
3,5,89,4,0
0,84,84,52,84
6,5,0,5,0
5,5,5,12,5
20,52,25,5,20
4,4,4,1,4
7,7,7,1,7
3,5,3,1,3
79,79,79,1,0
79,79,79,5,0
79,79,79,5,0
2,5,2,5,2
5,5,5,7,5
60,99,60,52,0
12,12,12,1,12
67,99,67,5,67
3,3,10,5,3
1,1,1,5,1
1,1,1,5,1
5,5,5,5,5
5,5,5,57,5
17,1,17,57,17
5,5,5,5,5
52,52,52,5,52
1,1,1,5,1
79,79,0,5,79
4,4,37,12,37
5,5,5,0,5
5,5,5,1,5
57,57,57,5,57
4,4,0,5,0
0,17,0,5,79
12,12,12,5,12
5,5,5,0,5
2,5,10,4,85
4,4,4,7,4
1,1,0,52,0
5,5,5,57,5
10,10,10,0,10
52,52,35,4,52
57,57,57,1,57
28,4,28,1,28
2,3,10,1,3
3,3,3,1,3
24,52,24,52,24
79,79,0,4,79
1,1,1,12,1
20,52,8,5,8
5,5,72,5,72
4,4,4,5,4
2,5,46,100,46
52,52,52,100,52
5,5,5,10,5
1,1,1,5,1
28,1,62,5,0
79,79,79,57,79
79,17,79,4,79
84,84,84,1,84
84,84,84,5,84
84,84,84,6,84
84,84,84,0,84
84,84,84,32,84
84,84,84,0,84
5,5,5,5,5
60,52,8,5,8
4,4,4,5,4
52,52,35,5,52
5,5,5,32,5
57,52,8,0,8
61,61,61,1,92
79,79,79,1,84
84,84,84,1,84
0,17,79,1,79
5,5,5,1,5
52,52,8,5,8
52,52,60,52,8
2,1,79,12,79
0,0,0,4,48
52,52,52,5,52
12,12,12,5,12
5,5,5,13,5
2,5,2,13,0
52,52,35,13,0
2,5,2,86,14
2,5,2,5,2
5,5,5,5,5
0,4,84,5,79
2,5,2,52,2
5,5,5,6,5
2,5,0,6,36
5,5,5,5,5
5,5,5,4,5
0,52,0,7,52
12,12,0,13,56
4,4,4,0,4
2,5,2,0,2
1,1,1,5,1
52,52,33,9,33
57,57,57,12,57
12,12,12,67,62
5,5,5,1,5
5,5,5,1,5
60,52,20,5,8
2,5,2,5,2
52,52,52,5,52
82,82,82,52,66
3,5,3,1,3
2,2,2,5,2
12,12,12,5,12
6,5,6,57,36
4,4,4,4,4
4,12,101,12,0
2,5,2,5,2
1,1,1,4,1
1,1,1,4,1
6,5,6,5,6
12,12,12,10,12
4,1,4,32,4
1,1,1,57,1
2,5,55,1,2
1,1,1,4,1
5,5,5,52,5
0,5,0,5,0
5,5,5,1,5
52,52,35,28,23
52,52,52,79,52
54,54,54,13,54
81,81,59,84,59
5,5,5,84,5
5,5,5,5,5
37,5,37,4,0
12,12,12,52,12
5,5,5,5,5
5,5,5,17,5
5,5,5,84,5
0,0,54,79,54
1,1,1,5,1
1,1,1,0,1
1,1,1,35,1
1,1,1,12,1
1,1,1,5,1
5,5,5,2,5
5,5,5,35,5
12,12,12,2,12
52,52,52,5,52
57,52,8,17,8
28,28,98,5,0
3,3,3,5,3
5,5,5,5,5
5,5,5,0,5
52,52,52,4,35
5,5,5,57,5
1,1,1,2,1
1,1,1,5,1
1,1,1,82,1
1,1,1,82,1
1,1,1,12,1
1,1,1,4,1
1,1,1,4,1
12,12,12,12,12
25,52,33,4,25
3,3,3,5,85
5,5,5,0,5
1,1,1,5,1
1,1,1,0,1
5,5,5,52,0
2,5,2,54,2
5,5,5,5,5
28,5,84,5,84
7,5,0,37,93
5,5,5,12,5
0,5,0,5,0
5,5,5,5,5
3,3,85,5,10
2,5,2,0,2
12,12,12,5,12
3,5,3,5,3
4,4,4,12,4
2,5,2,52,2
0,0,38,28,38
4,4,4,5,4
4,4,4,5,4
2,5,2,5,2
52,52,52,12,52
99,99,60,33,0
5,5,5,5,5
5,5,5,2,5
0,0,2,5,72
17,4,56,17,62
4,4,4,5,4
2,2,2,0,2
5,5,5,5,5
5,5,5,85,5
6,5,6,12,0
4,4,4,4,4
1,1,1,0,1
5,5,5,4,5
12,4,91,4,91
0,5,2,52,2
3,3,3,96,3
7,7,7,5,7
52,52,52,5,52
0,5,0,4,0
5,5,5,5,5
2,5,2,5,2
52,52,52,6,52
5,5,5,4,5
16,16,16,5,16
16,16,16,7,16
16,16,16,52,16
16,16,16,0,16
16,16,16,5,16
16,16,16,35,16
16,16,16,5,16
16,16,16,5,16
16,16,16,5,16
16,16,16,28,16
16,16,16,5,16
16,16,16,5,16
16,16,16,12,16
16,16,16,7,16
16,16,16,35,16
16,16,16,4,16
16,16,16,4,16
16,16,16,4,16
16,16,16,12,16
16,16,16,3,16
16,16,16,5,16
16,16,16,8,16
16,16,16,12,16
16,16,16,12,16
5,5,5,5,5
5,5,5,28,5
28,4,28,57,80
5,5,5,12,5
5,5,5,3,5
12,12,12,5,12
7,7,7,3,7
52,52,52,0,52
4,4,4,4,4
4,4,4,85,4
4,4,4,5,4
12,12,12,5,12
3,5,3,4,3
2,5,2,5,2
2,2,2,7,2
5,5,5,12,5
1,1,1,4,1
1,1,1,52,1
1,1,1,5,1
1,1,1,5,1
0,0,30,12,0
52,52,8,57,60
12,12,12,5,12
1,1,1,3,1
1,1,1,52,1
12,12,12,5,12
5,5,5,1,5
28,4,28,5,80
57,57,57,5,57
28,4,26,4,26
3,5,3,56,3
2,5,2,5,2
24,24,24,5,24
17,5,17,5,17
5,5,5,52,5
3,3,3,3,3
20,20,20,5,20
20,20,20,4,20
20,20,20,4,20
0,0,62,5,56
12,12,28,5,12
4,4,4,5,4
12,12,85,52,0
5,5,5,5,5
5,5,5,52,5
4,4,4,52,4
2,5,2,5,2
5,5,5,82,63
5,5,2,12,5
1,1,1,5,1
7,7,7,3,7
12,12,12,5,12
4,4,4,7,4
52,52,52,5,52
5,5,5,3,5
5,5,5,4,5
52,52,52,5,23
12,12,12,7,12
57,57,57,3,57
5,5,5,5,5
3,3,3,4,3
52,52,52,3,52
5,5,5,12,2
5,5,5,4,2
5,5,5,22,2
2,5,2,2,2
5,5,5,38,5
4,0,48,4,0
5,5,5,0,5
5,5,5,12,5
4,4,4,5,4
2,5,2,4,2
57,57,57,7,60
3,5,0,7,89
99,53,0,94,60
12,12,56,94,12
5,5,5,94,5
2,5,2,5,2
4,4,1,5,1
4,4,4,5,1
5,5,5,5,5
5,5,5,5,5
52,52,52,77,52
2,2,2,77,2
3,3,3,77,3
5,5,5,77,5
4,4,4,77,4
24,24,24,5,24
4,1,4,52,4
1,1,1,52,1
1,1,1,52,1
5,5,5,5,5
5,5,5,4,5
5,5,5,5,5
52,52,35,0,52
2,5,2,5,2
2,5,2,5,2
2,5,2,39,2
5,5,5,5,5
52,52,52,12,52
52,52,52,4,52
1,4,1,5,1
1,1,1,32,1
1,1,1,4,1
1,1,1,57,1
1,1,1,57,1
1,1,1,12,1
1,1,1,7,1
5,5,5,5,5
52,52,52,5,66
12,12,12,5,12
99,99,0,5,60
2,2,2,0,87
52,52,60,5,33
91,91,91,38,91
5,5,5,38,5
3,3,3,38,3
17,1,17,38,17
17,1,17,38,17
17,1,17,60,17
17,17,17,4,17
17,17,17,10,17
17,17,17,5,17
17,17,17,52,17
17,17,17,35,17
17,17,17,5,17
17,17,17,52,17
17,17,17,0,17
17,17,17,5,17
17,17,17,0,17
17,28,17,5,17
17,17,17,5,17
17,17,17,0,17
5,5,5,0,5
52,52,33,5,60
7,7,7,5,7
17,17,17,4,17
17,17,17,12,17
17,17,17,5,17
5,5,5,4,5
3,3,85,5,10
4,4,4,4,4
2,5,34,1,6
5,5,5,3,5
12,12,12,4,62
2,5,2,4,2
2,5,2,3,2
1,4,1,52,1
2,14,14,52,2
1,4,1,1,1
28,4,62,4,62
7,7,7,0,7
3,3,2,7,2
1,1,1,7,1
1,1,1,7,1
3,3,3,7,3
28,1,28,5,28
5,5,5,5,5
4,4,4,52,4
1,1,1,3,1
3,3,3,0,3
2,5,2,4,2
12,12,12,3,12
24,24,24,2,24
99,99,0,3,60
4,4,4,5,4
0,99,59,2,67
5,5,2,3,5
38,38,38,4,38
4,4,102,4,4
0,7,7,12,0
52,52,52,5,32
12,12,12,3,12
1,1,1,5,1
5,5,5,5,5
4,4,4,5,4
60,99,0,0,60
7,7,7,0,0
7,7,7,3,0
94,94,94,5,94
94,94,94,85,94
94,94,94,5,94
94,94,94,5,94
94,94,94,70,94
94,94,94,70,94
94,94,94,3,94
94,94,94,4,94
94,94,94,52,94
94,94,94,5,94
0,5,93,2,77
0,5,93,3,77
7,5,77,5,77
5,5,5,5,5
5,5,5,52,5
0,0,0,17,59
5,5,5,5,5
5,5,5,0,5
5,5,5,65,5
7,5,77,5,77
6,5,77,4,77
6,5,77,3,77
0,5,77,77,77
0,5,77,2,77
6,5,77,4,77
6,5,77,4,77
5,5,5,4,5
52,52,52,5,52
52,52,52,52,52
99,99,60,65,8
52,52,52,64,52
5,5,5,93,5
4,4,4,77,4
5,5,5,3,5
0,5,97,3,0
1,1,1,5,1
6,5,2,4,2
60,99,60,3,60
6,5,6,4,6
6,5,6,5,6
28,4,28,73,28
5,5,2,3,5
5,5,5,3,5
2,5,2,3,2
39,39,39,4,25
5,5,5,4,5
12,12,12,5,12
4,4,4,5,4
5,5,5,32,5
6,5,6,5,6
52,52,32,52,66
4,4,4,52,4
57,57,57,3,57
57,57,57,96,57
20,20,20,0,20
20,20,20,4,20
2,5,2,4,55
25,25,25,52,20
12,12,12,3,12
7,7,7,3,7
5,5,5,85,5
5,5,5,62,5
5,5,5,62,5
5,5,5,62,5
0,12,35,5,0
5,5,5,3,5
5,5,2,4,2
0,17,0,0,0
0,17,0,5,0
0,17,0,5,0
0,17,0,0,0
0,17,0,48,0
37,37,37,4,37
60,99,0,98,86
60,99,60,48,57
1,1,1,5,1
4,4,4,52,4
3,3,10,17,10
67,67,67,48,67
67,67,67,5,67
0,67,67,5,67
67,67,67,0,67
5,5,5,4,5
52,52,52,2,52
52,52,52,2,52
2,5,2,2,95
5,5,5,52,5
52,52,52,4,52
52,52,77,62,60
0,5,0,62,0
1,1,1,5,1
5,5,5,3,5
6,5,6,52,0
1,4,1,4,1
5,5,5,0,5
6,5,0,4,0
17,17,99,3,17
17,17,99,3,17
39,25,25,4,33
39,25,25,5,33
39,25,25,4,33
39,25,25,4,33
17,17,0,10,17
1,1,1,52,1
52,52,33,32,33
52,52,93,4,0
0,0,0,3,0
5,5,9,82,0
5,5,5,5,5
4,4,4,1,4
17,17,0,1,17
12,12,12,12,12
5,5,5,12,5
17,17,62,12,17
17,17,62,5,17
17,17,0,3,17
17,17,0,57,17
17,17,0,57,17
17,17,0,57,17
17,17,99,57,17
17,17,61,57,17
17,17,0,57,17
17,17,0,57,17
4,4,4,57,4
5,5,5,57,5
17,17,0,4,17
17,17,99,5,17
17,17,0,5,17
3,1,80,57,28
1,1,1,57,1
4,4,4,57,4
4,4,4,57,4
3,5,3,57,3
17,17,99,57,17
17,17,99,57,17
12,4,0,57,17
17,17,99,26,17
17,17,0,56,17
17,17,0,5,17
17,17,0,5,17
17,17,0,0,17
17,17,0,5,17
17,17,0,3,17
17,17,0,3,17
17,17,0,3,17
17,17,0,3,17
2,5,2,3,2
1,1,1,5,1
4,1,4,4,4
17,17,0,57,17
0,0,24,52,24
4,1,4,15,4
62,1,62,5,62
3,3,3,5,3
52,52,52,4,52
52,52,52,4,52
65,65,65,0,65
14,17,28,0,28
1,1,1,54,1
2,5,2,4,2
2,5,2,5,2
1,1,1,57,1
1,4,1,0,0
4,4,4,1,4
14,17,28,1,28
1,1,1,1,1
2,5,2,52,2
0,5,0,26,0
7,7,7,3,7
7,7,7,5,7
7,7,7,26,7
7,7,7,3,7
7,7,7,4,7
6,5,6,5,6
5,5,5,5,5
7,7,7,5,7
52,52,32,5,32
62,0,62,0,62
7,7,7,60,7
7,7,7,40,7
7,7,7,52,7
5,5,5,32,5
1,1,1,5,1
52,52,52,82,52
3,3,3,4,3
0,0,0,0,0
4,1,0,3,0
3,3,3,0,3
2,5,2,8,55
3,3,3,5,10
5,5,5,5,5
2,5,2,5,55
3,3,46,65,46
3,3,3,52,3
7,7,7,3,7
4,4,0,5,0
99,99,96,5,60
4,4,4,9,4
1,1,1,9,1
17,1,0,9,17
52,52,52,57,32
5,5,2,0,2
7,7,7,4,7
12,12,12,4,12
5,5,5,60,5
1,1,1,3,1
1,1,1,9,1
1,1,1,0,1
3,3,3,3,3
52,99,33,5,33
5,5,5,65,5
52,52,52,65,32
2,5,2,5,2
2,5,2,1,2
5,5,5,5,5
27,99,94,52,94
0,30,16,73,94
5,5,5,4,5
28,4,56,5,62
28,4,56,5,62
52,52,52,0,21
6,6,0,5,34
4,12,48,32,48
3,3,0,0,0
57,52,33,5,33
24,24,24,5,24
7,7,7,5,7
5,5,5,5,5
3,3,3,5,3
12,12,12,5,12
65,65,65,3,65
5,5,5,5,5
5,5,5,5,5
2,5,70,65,70
0,5,70,5,70
0,5,70,5,70
17,5,70,5,70
7,7,7,5,7
7,7,7,5,7
3,3,3,20,3
4,1,4,5,4
52,52,52,5,52
5,5,5,5,5
2,5,2,5,14
3,3,3,4,3
5,5,5,5,5
5,5,5,5,5
65,65,65,5,65
65,65,65,4,65
52,52,52,57,52
0,0,0,5,0
52,99,32,4,32
52,99,32,5,32
52,99,66,57,32
52,99,32,4,32
52,99,32,10,32
52,99,32,3,32
52,99,32,4,32
52,99,32,5,32
52,99,32,5,32
5,5,5,4,5
3,3,3,3,85
99,99,9,5,9
1,1,1,5,1
2,5,3,5,3
65,65,65,32,65
5,5,5,5,5
0,5,0,5,70
12,12,12,5,12
12,12,12,73,12
12,12,12,4,12
52,52,52,5,32
20,52,20,5,39
4,4,4,5,4
7,7,7,3,7
3,3,3,3,3
77,5,77,3,77
77,5,77,57,77
77,5,77,57,77
77,5,77,5,77
77,5,77,25,77
77,5,77,14,77
77,5,77,5,77
77,5,77,37,77
77,5,77,4,77
0,40,65,3,40
5,5,5,39,2
2,5,2,57,87
4,4,4,10,4
12,12,12,57,12
4,4,4,57,4
4,4,4,3,4
5,5,5,28,5
0,5,77,55,77
52,52,52,55,52
65,65,65,55,65
2,5,2,97,2
1,1,1,97,1
5,5,7,97,7
60,99,64,0,57
7,5,93,3,93
0,5,93,2,93
0,5,93,0,93
0,5,93,4,93
0,5,93,35,93
0,5,93,3,93
7,5,93,3,93
7,7,7,12,7
3,3,3,4,3
3,3,3,52,3
1,1,1,52,1
4,4,4,52,1
1,1,1,1,1
1,1,1,0,1
5,5,5,73,5
5,5,5,52,2
48,12,48,52,48
7,7,7,52,7
4,4,4,10,4
3,5,3,65,0
4,4,4,52,4
5,5,5,52,5
57,8,8,52,0
2,2,2,0,2
12,12,12,2,80
1,1,31,4,31
3,3,3,3,3
52,52,52,13,35
3,3,3,3,3
3,3,3,3,3
7,7,7,52,7
1,1,1,52,1
1,1,1,52,1
4,1,4,52,4
4,1,4,52,4
2,5,2,52,2
2,5,2,52,2
5,5,5,52,5
5,5,5,52,5
52,52,52,3,52
52,52,52,4,35
5,5,5,4,5
81,81,81,10,81
12,12,12,3,12
17,1,0,24,17
52,52,52,3,0
52,52,52,4,52
3,3,3,4,3
7,7,7,3,7
7,7,7,3,7
60,99,60,3,57
8,8,8,3,8
52,52,25,4,25
0,1,0,4,17
4,4,4,4,4
7,7,7,15,7
7,7,7,3,7
4,12,48,85,48
4,4,4,10,4
81,81,81,2,81
1,1,1,2,1
17,1,0,3,17
52,52,52,4,52
12,12,12,15,12
3,3,3,15,3
7,7,7,28,7
3,3,3,0,3
3,3,85,10,3
6,5,6,2,6
7,7,7,55,7
7,7,7,55,7
62,1,62,3,62
17,17,62,3,62
17,17,62,73,62
5,5,5,37,5
3,3,3,3,3
60,99,96,4,96
99,99,9,4,9
99,99,9,3,9
4,4,4,3,4
98,4,26,4,0
5,5,5,3,5
5,5,5,10,5
0,0,0,14,0
4,12,48,4,48
12,12,12,0,12
4,4,4,28,4
57,99,0,4,66
1,1,1,15,1
7,7,7,4,7
1,1,1,85,1
1,1,103,4,0
2,5,2,4,2
39,25,25,3,39
48,12,48,3,48
5,5,5,4,5
52,52,52,4,52
4,4,1,4,1
17,17,17,85,0
48,48,48,2,48
4,1,31,3,31
5,5,5,3,5
5,5,5,4,5
0,0,0,61,65
52,52,35,14,35
4,12,48,3,48
2,5,2,3,55
2,5,2,4,55
2,5,2,4,55
12,12,12,3,12
52,52,52,52,52
4,4,4,85,4
14,5,14,6,2
7,7,7,3,7
62,62,62,4,62
62,62,62,3,62
5,5,5,74,5
3,3,3,4,3
52,52,52,3,52
52,52,8,0,35
7,7,7,99,7
2,5,2,4,2
7,7,7,4,7
4,4,4,4,4
1,1,1,61,1
1,1,1,3,1
1,1,1,3,1
52,52,0,4,0
4,1,4,60,4
3,3,3,99,3
12,12,12,4,12
3,5,3,4,3
4,4,4,4,4
5,5,5,10,5
12,12,12,19,12
4,1,4,3,4
4,4,4,10,4
0,5,6,86,6
2,5,2,3,2
2,5,2,10,2
2,5,2,85,2
2,5,2,3,2
3,5,10,10,3
52,52,52,4,52
52,52,35,4,52
2,5,2,24,2
4,1,4,62,4
1,1,1,3,1
3,3,3,10,3
52,52,52,57,35
82,82,66,37,82
6,5,77,4,93
1,1,1,4,0
4,4,58,4,0
20,25,20,85,20
7,7,7,41,7
17,1,0,0,17
12,4,56,4,83
12,4,56,4,83
12,4,56,3,83
5,5,5,3,5
3,3,3,65,3
57,52,57,4,57
57,57,57,4,57
57,52,57,4,57
57,57,57,3,57
57,57,57,4,57
57,52,57,15,57
57,52,57,0,57
57,52,57,28,57
57,57,57,2,57
4,1,4,0,4
5,5,5,4,5
52,52,52,4,21
7,7,7,73,7
5,5,5,4,5
0,5,0,4,34
57,57,57,28,57
17,17,99,102,17
17,17,62,102,17
17,17,99,4,17
17,17,99,24,17
17,17,99,52,17
17,17,99,62,17
17,17,0,4,17
17,17,99,4,17
17,17,99,4,17
57,52,57,1,57
57,57,57,3,57
57,57,57,35,57
57,57,57,4,57
57,57,57,3,57
57,57,57,3,57
57,52,57,62,57
28,1,26,3,26
98,28,26,60,26
4,12,0,4,0
5,5,5,37,5
0,0,0,10,60
2,5,2,3,2
7,7,7,4,7
5,5,2,4,2
5,5,5,46,5
7,5,0,62,0
5,5,5,62,5
0,0,4,4,1
0,4,56,3,56
3,3,3,3,3
3,3,3,85,3
3,3,3,4,3
3,3,3,3,3
3,3,3,3,3
5,5,5,4,5
4,1,4,4,4
57,57,57,4,57
52,52,35,2,52
7,7,15,2,15
1,1,1,3,1
52,52,52,6,66
52,52,52,3,23
5,5,5,3,5
5,5,5,4,5
4,4,48,37,48
4,4,4,37,4
2,2,0,3,42
2,2,0,60,42
2,5,69,60,2
